Organization/Person Name,Organization/Person Name URL,Categories,Number of Funding Rounds,Last Funding Amount ($),Last Funding Type,Last Equity Funding Amount ($),Last Equity Funding Type,Total Equity Funding Amount ($),Total Funding Amount ($),Year
diaDexus,https://www.crunchbase.com/organization/diadexus,"Clinical Trials, Health Diagnostics",5,15000000,Post-IPO Debt,9200000,Series F,151700000,171200000,2014
Sorbent Therapeutics,https://www.crunchbase.com/organization/sorbent-therapeutics,"Biopharma, Pharmaceutical",7,6500000,Series D,6500000,Series D,104089217,110089217,2014
Presidio Pharmaceuticals,https://www.crunchbase.com/organization/presidio,"Medical, Pharmaceutical",7,21827981,Series D,21827981,Series D,97183423,100183473,2014
Pulmonx,https://www.crunchbase.com/organization/pulmonx,"Health Care, Medical Device",7,20000000,Debt Financing,10000000,Private Equity,71915000,98925000,2014
Oraya Therapeutics,https://www.crunchbase.com/organization/oraya-therapeutics,"Health Care, Medical Device",7,215000,Grant,25132051,Series D,94132051,97347081,2014
Edison Pharmaceuticals,https://www.crunchbase.com/organization/edison-pharmaceuticals,"Health Care, Medical",8,50000135,Private Equity,50000135,Private Equity,90578582,90578582,2014
Crown Bioscience,https://www.crunchbase.com/organization/crown-bioscience,"Health Care, Medical",7,26600000,Series D,26600000,Series D,88650000,88650000,2014
IntegenX,https://www.crunchbase.com/organization/integenx,"Analytics, Health Diagnostics",5,10000000,Debt Financing,40000000,Series C,78200000,88200000,2014
Spinal Kinetics,https://www.crunchbase.com/organization/spinal-kinetics,"Health Care, Medical Device",4,34000000,Venture - Series Unknown,34000000,Venture - Series Unknown,80000000,85300000,2014
Rennovia,https://www.crunchbase.com/organization/rennovia,"Chemical, Information Technology",5,23320658,Series B,23320658,Series B,76037524,78537524,2014
Alios BioPharma,https://www.crunchbase.com/organization/alios-biopharma,"Biopharma, Therapeutics",4,41000000,Series B,41000000,Series B,74400000,74400000,2014
Cobalt Technologies,https://www.crunchbase.com/organization/cobalt-technologies,"Biofuel, CleanTech",6,7000000,Venture - Series Unknown,7000000,Venture - Series Unknown,62893000,62893000,2014
Baxano,https://www.crunchbase.com/organization/baxano,"Health Care, Medical Device",4,10000000,Venture - Series Unknown,10000000,Venture - Series Unknown,61200000,61200000,2014
Sequenta,https://www.crunchbase.com/organization/sequenta,"Health Diagnostics, Medical",5,,Venture - Series Unknown,,Venture - Series Unknown,43460000,43460000,2014
ALDEA Pharmaceuticals,https://www.crunchbase.com/organization/aldea-pharmaceuticals,"Medical Device, Pharmaceutical",4,24000000,Series B,24000000,Series B,37483692,41997183,2014
Ziarco,https://www.crunchbase.com/organization/ziarco,"Medical, Therapeutics",2,33000000,Series B,33000000,Series B,40601832,40601832,2014
AbGenomics,https://www.crunchbase.com/organization/abgenomics,"Health Care, Medical",3,13160000,Series C,13160000,Series C,39610000,39610000,2014
Oculeve,https://www.crunchbase.com/organization/oculeve,"Collaboration, Health Care",4,16649997,Venture - Series Unknown,16649997,Venture - Series Unknown,31805473,32305473,2014
NuGEN Technologies,https://www.crunchbase.com/organization/nugen-technologies,"Analytics, Genetics, Health Care",6,6179995,Debt Financing,3499999,Venture - Series Unknown,25300000,31479995,2014
Imago BioSciences,https://www.crunchbase.com/organization/imago-biosciences,"Life Science, Medical",1,26500000,Series A,26500000,Series A,26500000,26500000,2014
GeneWEAVE,https://www.crunchbase.com/organization/geneweave-biosciences,"Clinical Trials, Health Diagnostics",3,11999998,Series B,11999998,Series B,24999998,24999998,2014
InSite Vision,https://www.crunchbase.com/organization/insite-vision,"Pharmaceutical, Therapeutics",2,2381666,Debt Financing,22187064,Private Equity,22187064,24568730,2014
Heart Metabolics,https://www.crunchbase.com/organization/heart-metabolics,"Health Care, Therapeutics",2,20000000,Series A,20000000,Series A,24000000,24000000,2014
TesoRx Pharma,https://www.crunchbase.com/organization/tesorx-pharma,"Health Care, Therapeutics",5,10000000,Series B,10000000,Series B,21830589,21830589,2014
Numerate,https://www.crunchbase.com/organization/numerate,"Life Science, Pharmaceutical",4,8240487,Series C,8240487,Series C,17420487,17420487,2014
BAM Labs,https://www.crunchbase.com/organization/bam-labs,"Health Care, Medical Device",7,3500000,Venture - Series Unknown,3500000,Venture - Series Unknown,15051237,16151237,2014
VM Discovery,https://www.crunchbase.com/organization/vm-discovery,"Medical, Product Design",4,12600000,Series C,12600000,Series C,15120000,15120000,2014
Insilixa,https://www.crunchbase.com/organization/insilixa,"Health Diagnostics, Medical, Test and Measurement",1,13000000,Venture - Series Unknown,13000000,Venture - Series Unknown,13000000,13000000,2014
Redwood Bioscience,https://www.crunchbase.com/organization/redwood-bioscience,"Chemical, Health Care",5,2499999,Series B,2499999,Series B,11448299,11898299,2014
Cambrian Genomics,https://www.crunchbase.com/organization/cambrian-genomics,"Genetics, Pharmaceutical",3,11228000,Series A,11228000,Series A,11228000,11228000,2014
Grower's Secret,https://www.crunchbase.com/organization/growers-secret,Hydroponics,3,8000000,Series A,8000000,Series A,9587500,9587500,2014
Biozone Pharmaceuticals,https://www.crunchbase.com/organization/biozone-pharmaceuticals,"Manufacturing, Pharmaceutical",4,2750000,Venture - Series Unknown,2750000,Venture - Series Unknown,4750000,9300000,2014
BioCision,https://www.crunchbase.com/organization/biocision,"Biopharma, Life Science",2,5847600,Venture - Series Unknown,5847600,Venture - Series Unknown,8347600,8347600,2014
Kaiser Permanente,https://www.crunchbase.com/organization/kaiser-permanente,"Health Care, Health Diagnostics",1,7400000,Grant,,,,7400000,2014
Santa Maria Biotherapeutics,https://www.crunchbase.com/organization/santa-maria-biotherapeutics,"Health Care, Therapeutics",1,6311156,Venture - Series Unknown,6311156,Venture - Series Unknown,6311156,6311156,2014
Maverix Biomics,https://www.crunchbase.com/organization/maverix-biomics,,1,6000000,Series A,6000000,Series A,6000000,6000000,2014
Endoclear,https://www.crunchbase.com/organization/endoclear,"Hospital, Medical Device",4,782786,Venture - Series Unknown,782786,Venture - Series Unknown,5132786,5632786,2014
Tosk,https://www.crunchbase.com/organization/tosk,"Biopharma, Therapeutics",1,5449274,Venture - Series Unknown,5449274,Venture - Series Unknown,5449274,5449274,2014
Gemmus Pharma,https://www.crunchbase.com/organization/gemmus-pharma,"Health Care, Pharmaceutical",2,3300000,Series B,3300000,Series B,5100000,5100000,2014
Amarantus BioSciences,https://www.crunchbase.com/organization/amarantus-biosciences,"Health Care, Life Science",2,3000000,Venture - Series Unknown,3000000,Venture - Series Unknown,4299327,4299327,2014
Niveus Medical,https://www.crunchbase.com/organization/niveus-medical,"Health Care, Medical Device",3,1840538,Venture - Series Unknown,1840538,Venture - Series Unknown,3840538,4205538,2014
Consano,https://www.crunchbase.com/organization/consano,,1,3900000,Venture - Series Unknown,3900000,Venture - Series Unknown,3900000,3900000,2014
AvidBiotics,https://www.crunchbase.com/organization/avidbiotics,"Life Science, Therapeutics",3,854128,Venture - Series Unknown,854128,Venture - Series Unknown,3694301,3694301,2014
Endosee,https://www.crunchbase.com/organization/endosee,"Bioinformatics, ",3,1005083,Venture - Series Unknown,1005083,Venture - Series Unknown,3572737,3572737,2014
Zephyrus Biosciences,https://www.crunchbase.com/organization/zephyrus-biosciences,"Hardware, Health Care",3,1500000,Seed,1500000,Seed,1500000,1860000,2014
K-PAX Pharmaceuticals,https://www.crunchbase.com/organization/k-pax-pharmaceuticals,,2,1460000,Venture - Series Unknown,1460000,Venture - Series Unknown,1460000,1760000,2014
Bikanta,https://www.crunchbase.com/organization/bikanta,"Health Diagnostics, Nanotechnology",1,1700000,Seed,1700000,Seed,1700000,1700000,2014
Nvigen,https://www.crunchbase.com/organization/nvigen,"Clinical Trials, Nanotechnology",3,1116749,Series B,1116749,Series B,1116749,1116749,2014
BIO-NEMS,https://www.crunchbase.com/organization/bio-nems,"Analytics, ",2,200000,Debt Financing,,,,925000,2014
TAXA Biotechnologies,https://www.crunchbase.com/organization/glowing-plant,"Genetics, Life Science",2,425000,Seed,425000,Seed,425000,909000,2014
CardioGen Sciences,https://www.crunchbase.com/organization/cardiogen-sciences,"Genetics, Medical",1,526000,Seed,526000,Seed,526000,526000,2014
Prime Genomics,https://www.crunchbase.com/organization/prime-genomics,Genetics,3,324685,Debt Financing,,Seed,192000,516685,2014
"Encoded Genomics, Inc.",https://www.crunchbase.com/organization/encoded-genomics,Genetics,1,100000,Convertible Note,,,,100000,2014
iClinical Inc,https://www.crunchbase.com/organization/iclinical,"Clinical Trials, Enterprise Software, Pharmaceutical",1,20000,Grant,,,,20000,2014
Nodexus Inc.,https://www.crunchbase.com/organization/nodexus,"Biopharma, ",2,,Seed,,Seed,,,2014
Assembly Pharma,https://www.crunchbase.com/organization/assembly-pharma,,1,,Venture - Series Unknown,,Venture - Series Unknown,,,2014
