Organization/Person Name,Organization/Person Name URL,Categories,Number of Funding Rounds,Last Funding Amount ($),Last Funding Type,Last Equity Funding Amount ($),Last Equity Funding Type,Total Equity Funding Amount ($),Total Funding Amount ($),
Proteus Digital Health,https://www.crunchbase.com/organization/proteus-biomedical,"Health Care, Mobile, Software",13,40000000,Private Equity,40000000,Private Equity,390675979,422275979,2016
True North Therapeutics,https://www.crunchbase.com/organization/true-north-therapeutics,"Clinical Trials, Health Care",4,45000000,Series D,45000000,Series D,142000000,142000000,2016
CardioKinetix,https://www.crunchbase.com/organization/cardiokinetix,"Health Care, Medical Device",6,,Series F,,Series F,135500000,135500000,2016
OptiScan Biomedical,https://www.crunchbase.com/organization/optiscan-biomedical,"Health Care, Medical",5,29471095,Private Equity,29471095,Private Equity,130227852,130227852,2016
3-V Biosciences,https://www.crunchbase.com/organization/3-v-biosciences,"Biopharma, Therapeutics",7,5437612,Venture - Series Unknown,5437612,Venture - Series Unknown,119636612,119636612,2016
Cleave Biosciences,https://www.crunchbase.com/organization/cleave-biosciences,"Biopharma, Health Care",4,25950003,Venture - Series Unknown,25950003,Venture - Series Unknown,116950003,116950003,2016
Cellerant Therapeutics,https://www.crunchbase.com/organization/cellerant-therapeutics,"Clinical Trials, Therapeutics",12,1500000,Grant,2094341,Venture - Series Unknown,39054927,109769927,2016
CoMentis,https://www.crunchbase.com/organization/comentis,"Health Care, Medical",5,4500000,Series E,4500000,Series E,107500000,107500000,2016
Ceterix Orthopaedics,https://www.crunchbase.com/organization/ceterix-orthopaedics,"Health Care, Medical Device",4,23000000,Venture - Series Unknown,23000000,Venture - Series Unknown,60000000,95000000,2016
Berkeley Lights,https://www.crunchbase.com/organization/berkeley-lights,"Biopharma, Health Care",2,29717217,Venture - Series Unknown,29717217,Venture - Series Unknown,86217217,86217217,2016
Chrono Therapeutics,https://www.crunchbase.com/organization/chrono-therapeutics,"Medical, Therapeutics",5,47600000,Series B,47600000,Series B,79700000,82500000,2016
Annexon Biosciences,https://www.crunchbase.com/organization/annexon-biosciences,"Health Care, Health Diagnostics, Life Science, Therapeutics",3,44000000,Series B,44000000,Series B,78999999,78999999,2016
Spirox,https://www.crunchbase.com/organization/nasoform,"Medical, Medical Device",4,45000000,Series C,45000000,Series C,71500000,71500000,2016
Tizona Therapeutics,https://www.crunchbase.com/organization/tizona-therapeutics,"Medical, Therapeutics",2,43000000,Series B,43000000,Series B,70000000,70000000,2016
Second Genome,https://www.crunchbase.com/organization/second-genome,"Health Diagnostics, Medical",4,8400000,Series B,8400000,Series B,62899999,62899999,2016
Alector,https://www.crunchbase.com/organization/alector,"Genetics, Health Care, Therapeutics",4,29500000,Series D,29500000,Series D,61500000,61500000,2016
Sonoma Orthopedics,https://www.crunchbase.com/organization/sonoma-orthopedics,"Hospital, Medical Device",7,,Venture - Series Unknown,,Venture - Series Unknown,59000000,60492968,2016
Neuraltus Pharmaceuticals,https://www.crunchbase.com/organization/neuraltus-pharmaceuticals,"Health Care, Pharmaceutical",5,14938357,Venture - Series Unknown,14938357,Venture - Series Unknown,54165006,54165006,2016
Reset Therapeutics,https://www.crunchbase.com/organization/reset-therapeutics,"Biopharma, Pharmaceutical",3,29727145,Venture - Series Unknown,29727145,Venture - Series Unknown,44523376,53623376,2016
Turnstone Biologics,https://www.crunchbase.com/organization/turnstone-biologics,"Innovation Management, Therapeutics",2,41400000,Series B,41400000,Series B,52700000,52700000,2016
HealthTell,https://www.crunchbase.com/organization/healthtell,"Health Care, Health Diagnostics, Personal Health",4,26098829,Series B,26098829,Series B,35585758,44782168,2016
Caribou Biosciences,https://www.crunchbase.com/organization/caribou-biosciences,"Biopharma, Genetics, Health Care",3,30000000,Series B,30000000,Series B,44464846,44464846,2016
Apama Medical,https://www.crunchbase.com/organization/apama-medical,"Health Care, Medical Device",6,6500000,Debt Financing,13000000,Series C,34800000,42300000,2016
AccuraGen Holdings,https://www.crunchbase.com/organization/accuragen-holdings,"Health Care, Medical Device",2,40000000,Series B,40000000,Series B,40000000,40000000,2016
Profusa,https://www.crunchbase.com/organization/profusa,"Health Care, Medical, Medical Device, Wellness",5,7500000,Grant,13200000,Series B,27218821,35918821,2016
Delinia,https://www.crunchbase.com/organization/delinia,,1,35000000,Series A,35000000,Series A,35000000,35000000,2016
Quantapore,https://www.crunchbase.com/organization/quantapore,"Health Care, Medical",3,,Series C,,Series C,35000000,35000000,2016
