Organization/Person Name,Organization/Person Name URL,Categories,Number of Funding Rounds,Last Funding Amount ($),Last Funding Type,Last Equity Funding Amount ($),Last Equity Funding Type,Total Equity Funding Amount ($),Total Funding Amount ($),Year
Intarcia Therapeutics,https://www.crunchbase.com/organization/intarcia-therapeutics,"Health Care, Medical Device",20,200000000,Series E,200000000,Series E,1424614583,1610405937,2017
Theranos,https://www.crunchbase.com/organization/theranos,"Consumer, Health Care, Health Diagnostics",10,100000000,Debt Financing,348500000,Private Equity,686300000,1368500318,2017
Guardant Health,https://www.crunchbase.com/organization/guardant-health,"Health Care, Health Diagnostics",6,360000000,Series E,360000000,Series E,550000000,550000000,2017
"Auris Health, Inc.",https://www.crunchbase.com/organization/auris-surgical-robotics,"Medical, Medical Device, Robotics",5,280210782,Series D,280210782,Series D,513171837,513296837,2017
23andMe,https://www.crunchbase.com/organization/23andme,"Consumer, Genetics",11,,Secondary Market,250000000,Series F,482973609,486073609,2017
CardioDx,https://www.crunchbase.com/organization/cardiodx,"Genetics, Health Diagnostics, Pharmaceutical",11,22500000,Venture - Series Unknown,22500000,Venture - Series Unknown,305261831,305261831,2017
Counsyl,https://www.crunchbase.com/organization/counsyl,"Genetics, Health Diagnostics",9,80000000,Venture - Series Unknown,80000000,Venture - Series Unknown,237795000,237795000,2017
Singulex,https://www.crunchbase.com/organization/singulex,"Life Science, Medical",9,50000000,Debt Financing,50000000,Undisclosed,137336875,227336875,2017
Bolt Threads,https://www.crunchbase.com/organization/bolt-threads,"Fashion, Manufacturing",4,123000000,Series D,123000000,Series D,212999999,212999999,2017
Neotract,https://www.crunchbase.com/organization/neotract,"Health Care, Medical, Medical Device",6,12816967,Venture - Series Unknown,12816967,Venture - Series Unknown,175781811,175781811,2017
EBR Systems,https://www.crunchbase.com/organization/ebr-systems,"Medical, Medical Device",8,50000000,Venture - Series Unknown,50000000,Venture - Series Unknown,169857026,169857026,2017
Codiak Biosciences,https://www.crunchbase.com/organization/codiak-biosciences,"Medical, Therapeutics",3,76500000,Series C,76500000,Series C,168500000,168500000,2017
Vir ,https://www.crunchbase.com/organization/vir-,"Biopharma, Health Care, Medical",1,150000000,Venture - Series Unknown,150000000,Venture - Series Unknown,150000000,150000000,2017
Moximed,https://www.crunchbase.com/organization/moximed,"Health Care, Medical Device",5,50000000,Series C,50000000,Series C,143224838,143224838,2017
NeuroPace,https://www.crunchbase.com/organization/neuropace,"Health Care, Neuroscience",4,74000000,Venture - Series Unknown,74000000,Venture - Series Unknown,141000000,141000000,2017
FLX Bio,https://www.crunchbase.com/organization/flx-bio,"Medical, Pharmaceutical, Therapeutics",3,60000000,Series C,60000000,Series C,139000000,139000000,2017
BridgeBio,https://www.crunchbase.com/organization/bridgebio,"Life Science, Medical",1,135000000,Series C,135000000,Series C,135000000,135000000,2017
Allakos,https://www.crunchbase.com/organization/allakos,"Health Care, Therapeutics",3,100000000,Series B,100000000,Series B,134500000,134500000,2017
MyoScience,https://www.crunchbase.com/organization/myoscience,"Pharmaceutical, Therapeutics",6,14000043,Venture - Series Unknown,14000043,Venture - Series Unknown,124600043,124600043,2017
E-scape Bio,https://www.crunchbase.com/organization/e-scape-bio,"Health Care, Medical",2,63000000,Series A,63000000,Series A,118002700,118002700,2017
Color ,https://www.crunchbase.com/organization/color-genomics,"Genetics, Machine Learning, Product Design",4,52000000,Series C,52000000,Series C,112000000,112000000,2017
MicuRx Pharmaceuticals,https://www.crunchbase.com/organization/micurx-pharmaceuticals,"Health Care, Medical",4,"CN¥100,000,000",Series D,"CN¥100,000,000",Series D,105106196,105106196,2017
Atreca,https://www.crunchbase.com/organization/atreca,"Health Care, Therapeutics",5,35000000,Series B,35000000,Series B,97000000,97860000,2017
Calysta Energy,https://www.crunchbase.com/organization/calysta-energy,"Energy, Oil and Gas",5,40000000,Series D,40000000,Series D,88000000,88000000,2017
VitalConnect,https://www.crunchbase.com/organization/vital-connect,"Health Care, Medical Device",4,20000000,Debt Financing,38000000,Series C,66740726,86740726,2017
Health IQ,https://www.crunchbase.com/organization/health-iq,"Health Care, Life Insurance, Pharmaceutical",3,34600000,Series C,34600000,Series C,81500000,81500000,2017
Freenome,https://www.crunchbase.com/organization/freenome,"Health Care, Health Diagnostics, Personal Health",3,7000000,Series A,7000000,Series A,77550000,77550000,2017
Labcyte Inc.,https://www.crunchbase.com/organization/labcyte,"Alternative Medicine, Life Science, Pharmaceutical",8,4999999,Venture - Series Unknown,4999999,Venture - Series Unknown,57099999,74295999,2017
Symic Biomedical,https://www.crunchbase.com/organization/symic-biomedical,"Business Intelligence, Health Care",5,30000000,Series B,30000000,Series B,71375687,72875687,2017
Pionyr Immunotherapeutics,https://www.crunchbase.com/organization/pionyr-immunotherapeutics,"Medical, Pharmaceutical, Therapeutics",2,62000000,Series B,62000000,Series B,70000000,70000000,2017
